Rank,Name,Code,Team,FantasyPts
1,Josh Allen,QB1,BUF,372.5
2,Jalen Hurts,QB2,PHI,369
3,Patrick Mahomes,QB3,KC,361
4,Joe Burrow,QB4,CIN,345.7
5,Lamar Jackson,QB5,BAL,325.4
6,Justin Herbert,QB6,LAC,314
7,Justin Fields,QB7,CHI,311.8
8,Trevor Lawrence,QB8,JAC,301.4
9,Deshaun Watson,QB9,CLE,293.2
10,Geno Smith,QB10,SEA,285.9
11,Daniel Jones,QB11,NYG,284.1
12,Dak Prescott,QB12,DAL,277.4
13,Tua Tagovailoa,QB13,MIA,274.5
14,Kirk Cousins,QB14,MIN,271.8
15,Anthony Richardson,QB15,IND,269.4
16,Jared Goff,QB16,DET,264.1
17,Aaron Rodgers,QB17,NYJ,261.3
18,Justin Jefferson,WR1,MIN,252.7
19,Christian McCaffrey,RB1,SF,247.4
20,Tyreek Hill,WR2,MIA,245.9
21,Russell Wilson,QB18,DEN,244.5
22,Ja'Marr Chase,WR3,CIN,244
23,Cooper Kupp,WR4,LAR,243.3
24,Derek Carr,QB19,NO,238.4
25,Kenny Pickett,QB20,PIT,238.3
25,Austin Ekeler,RB2,LAC,238.3
27,Jordan Love,QB21,GB,234.5
28,C.J. Stroud,QB22,HOU,232
29,Bryce Young,QB23,CAR,230.4
30,Stefon Diggs,WR5,BUF,229.6
31,Travis Kelce,TE1,KC,227.9
31,Bijan Robinson,RB3,ATL,227.9
33,Matthew Stafford,QB24,LAR,227.7
34,Jimmy Garoppolo,QB25,LV,222.7
35,A.J. Brown,WR6,PHI,222.1
36,Sam Howell,QB26,WAS,221.7
37,Garrett Wilson,WR7,NYJ,221.2
38,Tony Pollard,RB4,DAL,221
39,Nick Chubb,RB5,CLE,219.9
40,Mac Jones,QB27,NE,217.5
40,Desmond Ridder,QB27,ATL,217.5
42,Brock Purdy,QB29,SF,215.7
43,Derrick Henry,RB6,TEN,214.2
44,CeeDee Lamb,WR8,DAL,214.1
45,Amon-Ra St. Brown,WR9,DET,213.9
46,Saquon Barkley,RB7,NYG,213.6
47,Davante Adams,WR10,LV,212.9
48,Josh Jacobs,RB8,LV,207.5
49,Chris Olave,WR11,NO,202.2
50,Ryan Tannehill,QB30,TEN,200.1
51,Tee Higgins,WR12,CIN,199.5
52,Jaylen Waddle,WR13,MIA,196.2
53,DK Metcalf,WR14,SEA,194.3
54,DeVonta Smith,WR15,PHI,188.7
55,Rhamondre Stevenson,RB9,NE,183.9
56,Calvin Ridley,WR16,JAC,181.8
57,Najee Harris,RB10,PIT,178
58,Jahmyr Gibbs,RB11,DET,177.2
59,Christian Watson,WR17,GB,173.3
60,Breece Hall,RB12,NYJ,172.2
61,Mark Andrews,TE2,BAL,171.6
62,Deebo Samuel,WR18,SF,170.2
63,Amari Cooper,WR19,CLE,169.6
64,DJ Moore,WR20,CHI,169.2
65,Kenneth Walker III,RB13,SEA,168.9
66,Kyler Murray,QB31,ARI,168.5
67,Terry McLaurin,WR21,WAS,166
68,Alexander Mattison,RB14,MIN,165.9
69,Drake London,WR22,ATL,165.8
70,Joe Mixon,RB15,CIN,165.5
71,Keenan Allen,WR23,LAC,163.6
72,Aaron Jones,RB16,GB,163
73,Travis Etienne Jr.,RB17,JAC,161.9
74,Dameon Pierce,RB18,HOU,160.8
75,Mike Williams,WR24,LAC,159.3
76,DeAndre Hopkins,WR25,TEN,157
76,Chris Godwin,WR25,TB,157
78,Brandon Aiyuk,WR27,SF,156.9
79,Miles Sanders,RB19,CAR,155.5
80,Tyler Lockett,WR28,SEA,154.1
81,Michael Pittman Jr.,WR29,IND,152.5
82,Mike Evans,WR30,TB,152.2
83,Christian Kirk,WR31,JAC,152
84,George Pickens,WR32,PIT,151.6
85,Jerry Jeudy,WR33,DEN,151.5
86,Isiah Pacheco,RB20,KC,151.1
87,Gabe Davis,WR34,BUF,149.5
88,Diontae Johnson,WR35,PIT,149.4
89,J.K. Dobbins,RB21,BAL,148.1
90,Baker Mayfield,QB32,TB,148
91,James Conner,RB22,ARI,147.5
