Value,Team,Name,Pts/week,Rank,Position
77,KC,Patrick Mahomes II,7.7,1,QB
77,BUF,Josh Allen,7.7,2,QB
67,PHI,Jalen Hurts,7.2,3,QB
43,BAL,Lamar Jackson,5.8,4,QB
40,CIN,Joe Burrow,5.6,5,QB
25,CHI,Justin Fields,4.4,6,QB
21,LAC,Justin Herbert,4.1,7,QB
15,CLE,Deshaun Watson,3.4,8,QB
11,DAL,Dak Prescott,3,9,QB
10,JAC,Trevor Lawrence,2.8,10,QB
10,MIN,Kirk Cousins,2.8,11,QB
8,NYG,Daniel Jones,2.6,12,QB
8,SEA,Geno Smith,2.6,13,QB
3,MIA,Tua Tagovailoa,1.7,14,QB
2,DEN,Russell Wilson,1.5,15,QB
2,NYJ,Aaron Rodgers,1.5,16,QB
2,DET,Jared Goff,1.4,17,QB
1,IND,Anthony Richardson,1.2,18,QB
,GB,Jordan Love,0.2,19,QB
,NO,Derek Carr,0.1,20,QB
,PIT,Kenny Pickett,0,21,QB
,LAR,Matthew Stafford,-0.2,22,QB
,SF,Brock Purdy,-0.6,23,QB
,CAR,Bryce Young,-0.8,24,QB
,LV,Jimmy Garoppolo,-1.4,25,QB
,HOU,C.J. Stroud,-1.9,26,QB
,NE,Mac Jones,-1.9,27,QB
,TEN,Ryan Tannehill,-2,28,QB
,WAS,Sam Howell,-2.1,29,QB
,ARI,Kyler Murray,-2.4,30,QB
,TB,Baker Mayfield,-3.5,31,QB
,ATL,Desmond Ridder,-3.6,32,QB
74,KC,Travis Kelce,7.4,1,TE
13,BAL,Mark Andrews,3.2,2,TE
10,MIN,T.J. Hockenson,2.8,3,TE
6,NYG,Darren Waller,2.2,4,TE
4,SF,George Kittle,1.8,5,TE
2,ATL,Kyle Pitts,1.4,6,TE
1,PHI,Dallas Goedert,1.2,7,TE
,JAC,Evan Engram,0.5,8,TE
,PIT,Pat Freiermuth,0.5,9,TE
,HOU,Dalton Schultz,0.1,10,TE
,CLE,David Njoku,0,11,TE
,LAR,Tyler Higbee,0,12,TE
,TEN,Chigoziem Okonkwo,-0.3,13,TE
,LAC,Gerald Everett,-0.5,14,TE
,CHI,Cole Kmet,-0.5,15,TE
,BUF,Dalton Kincaid,-0.6,16,TE
,DEN,Greg Dulcich,-0.7,17,TE
66,SF,Christian McCaffrey,6.6,1,RB
56,LAC,Austin Ekeler,6.1,2,RB
30,TEN,Derrick Henry,4.5,3,RB
30,ATL,Bijan Robinson,4.5,4,RB
30,NYG,Saquon Barkley,4.5,5,RB
29,DAL,Tony Pollard,4.4,6,RB
29,CLE,Nick Chubb,4.4,7,RB
26,LV,Josh Jacobs,4.2,8,RB
