MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,+/-
,13,23.0,56.5,,,,12,14,85.7,,,10.0,8.0,,,,3.0,38,
48.0,7,19.0,36.8,,,,8,10,80.0,,,9.0,13.0,,,,6.0,22,
,12,31.0,38.7,,,,8,10,80.0,,,18.0,9.0,,,,4.0,32,
42.0,9,16.0,56.3,,,,9,10,90.0,,,14.0,10.0,,,,1.0,27,
47.0,11,27.0,40.7,,,,15,17,88.2,,,9.0,18.0,,,,3.0,37,
31.0,7,14.0,50.0,,,,2,2,100.0,,,8.0,12.0,,,,2.0,16,
32.0,4,,,,,,4,5,80.0,,,2.0,5.0,,,,2.0,12,
48.0,14,22.0,63.6,,,,11,13,84.6,,,11.0,14.0,,,,4.0,39,
48.0,12,26.0,46.2,,,,15,16,93.8,,,15.0,18.0,,,,5.0,39,
47.0,11,20.0,55.0,,,,14,16,87.5,,,12.0,13.0,,,,4.0,36,
,15,,,,,,13,15,86.7,,,9.0,20.0,,,,5.0,43,
40.0,11,17.0,64.7,,,,9,13,69.2,,,12.0,8.0,,,,2.0,31,
,15,30.0,50.0,,,,10,12,83.3,,,10.0,11.0,,,,2.0,40,
,11,24.0,45.8,,,,10,11,90.9,,,11.0,9.0,,,,5.0,32,
,13,26.0,50.0,,,,12,17,70.6,,,15.0,,,,,2.0,38,
,6,,,,,,10,14,71.4,,,10.0,7.0,,,,4.0,22,
,12,,,,,,13,15,86.7,,,,,,,,2.0,37,
44.0,15,24.0,62.5,,,,8,13,61.5,,,13.0,9.0,,,,3.0,38,
,12,26.0,46.2,,,,7,8,87.5,,,11.0,8.0,,,,4.0,31,
,9,24.0,37.5,,,,6,9,66.7,,,16.0,8.0,,,,3.0,24,
43.0,14,26.0,53.8,,,,4,6,66.7,,,5.0,10.0,,,,4.0,32,
11.0,2,6.0,33.3,,,,0,0,,,,0.0,1.0,,,,0.0,4,
6.0,1,,,,,,1,1,100.0,,,2.0,,,,,0.0,3,
,10,,,,,,7,7,100.0,,,,,,,,5.0,27,
47.0,13,,,,,,19,22,86.4,,,8.0,8.0,,,,5.0,45,
,11,31.0,35.5,,,,9,14,64.3,,,15.0,16.0,,,,4.0,31,
,11,,,,,,7,10,70.0,,,13.0,11.0,,,,5.0,29,
46.0,9,25.0,36.0,,,,13,13,100.0,,,18.0,13.0,,,,3.0,31,
43.0,13,28.0,46.4,,,,12,16,75.0,,,10.0,10.0,,,,1.0,38,
48.0,13,21.0,61.9,,,,6,8,75.0,,,11.0,11.0,,,,4.0,32,
,14,28.0,50.0,,,,14,16,87.5,,,13.0,10.0,,,,2.0,42,
,7,19.0,36.8,,,,14,16,87.5,,,18.0,11.0,,,,3.0,28,
,13,20.0,65.0,,,,12,13,92.3,,,5.0,9.0,,,,4.0,38,
,11,36.0,30.6,,,,14,18,77.8,,,19.0,6.0,,,,4.0,36,
,13,23.0,56.5,,,,12,18,66.7,,,13.0,11.0,,,,4.0,38,
48.0,15,27.0,55.6,,,,15,18,83.3,,,12.0,13.0,,,,2.0,45,
,17,,,,,,9,10,90.0,,,5.0,13.0,,,,5.0,43,
,12,28.0,42.9,,,,8,9,88.9,,,15.0,16.0,,,,3.0,32,
,10,,,,,,8,10,80.0,,,18.0,10.0,,,,4.0,28,
,12,27.0,44.4,,,,7,8,87.5,,,14.0,11.0,,,,1.0,31,
,15,25.0,60.0,,,,9,10,90.0,,,8.0,8.0,,,,3.0,39,
34.0,8,13.0,61.5,,,,6,6,100.0,,,4.0,9.0,,,,6.0,22,
,10,24.0,41.7,,,,12,13,92.3,,,10.0,8.0,,,,2.0,32,
,11,,,,,,14,15,93.3,,,8.0,8.0,,,,5.0,36,
,11,,,,,,16,17,94.1,,,8.0,15.0,,,,5.0,38,
,7,22.0,31.8,,,,13,15,86.7,,,10.0,10.0,,,,5.0,27,
47.0,14,24.0,58.3,,,,6,9,66.7,,,14.0,11.0,,,,0.0,34,
47.0,17,30.0,56.7,,,,7,12,58.3,,,11.0,6.0,,,,3.0,41,
49.0,16,,,,,,10,13,76.9,,,4.0,9.0,,,,6.0,42,
31.0,11,22.0,50.0,,,,4,4,100.0,,,2.0,4.0,,,,1.0,26,
42.0,12,23.0,52.2,,,,6,8,75.0,,,8.0,5.0,,,,0.0,30,
,10,28.0,35.7,,,,11,13,84.6,,,11.0,14.0,,,,4.0,31,
